type_chaussure,prix,adresse,image_link
Paire de air force 1 blue,6.500,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_5113904_uploaded_image1_1735645152.jpg
Paire de chaussures air max tn,8.000,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_5113899_uploaded_image1_1735644997.jpg
paire de chaussures air max,4.000,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_5113894_uploaded_image1_1735644783.jpg
Baskets Air Force 107 LV8,Prix.sur.demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5113429_uploaded_image1_1735600680.jpg
Baskets homme,18.000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5113372_uploaded_image1_1735596783.jpg
Chaussures homme,7.000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5111401_uploaded_image1_1735478673.jpg
Chaussures homme,Prix.sur.demande,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5110777_uploaded_image1_1735417132.jpg
Baskets Air Jordan 1,16.000,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5109285_uploaded_image1_1735316970.jpg
Baskets Jordan,20.000,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5108423_uploaded_image1_1735258204.jpg
Chaussures homme,Prix.sur.demande,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5107976_uploaded_image1_1735231845.jpg
Chaussures homme,Prix.sur.demande,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5107947_uploaded_image1_1735230299.jpg
Chaussures homme,Prix.sur.demande,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5107122_uploaded_image1_1735159699.jpg
Sneakers Gucci,45.000,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_5105997_uploaded_image1_1735063308.jpg
Chaussures vans,20.000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5105635_uploaded_image1_1735045241.jpg
All converse chuk Taylor size 39 a 44,25.000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5063140_uploaded_image1_1732650003.jpg
Chaussures homme,Prix.sur.demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5104669_uploaded_image1_1734977624.jpg
Chaussures homme,Prix.sur.demande,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5104400_uploaded_image1_1734965360.jpg
Baskets  Vans,20.000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5104049_uploaded_image1_1734950403.jpg
Mocassins homme,15.000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5103710_uploaded_image1_1734928509.jpg
Baskets Yezzy boost 350,20.000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5061596_uploaded_image1_1732574074.jpg
Baskets Vans Knu school size 37 a 41,25.000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5061577_uploaded_image1_1732573005.jpg
Baskets Louis Vuitton skate,25.000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5061582_uploaded_image1_1732573189.jpg
Baskets Dior B22,25.000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5061576_uploaded_image1_1732572845.jpg
Baskets New balance 9060,25.000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5061565_uploaded_image1_1732572319.jpg
Baskets Nike Air Max DN,25.000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5061569_uploaded_image1_1732572616.jpg
Baskets New balance 9060,30.000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5061556_uploaded_image1_1732571856.jpg
Baktets Puma suède XL,25.000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5061551_uploaded_image1_1732571638.jpg
Chaussures  homme,13.000,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_5102198_uploaded_image1_1734793775.jpg
Chaussures homme,18.000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5098395_uploaded_image1_1734566056.jpg
Chaussures Timberland,18.000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5098393_uploaded_image1_1734565931.jpg
Berluti,25.000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5097538_uploaded_image1_1734524683.jpg
Baskets Nike Dunk,20.000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5095995_uploaded_image1_1734445682.jpg
Chaussures homme,8.000,"Louga, Sénégal",https://images.coinafrique.com/thumb_5094978_uploaded_image1_1734389112.jpg
Chaussures homme,4.500,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5094675_uploaded_image1_1734373088.jpg
Chaussures homme,50.000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5092902_uploaded_image1_1734275886.jpg
Chaussures pour homme,25.000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5090477_uploaded_image1_1734101696.jpg
Chaussures pour homme,25.000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5090476_uploaded_image1_1734101588.jpg
Chaussures en cuir,25.000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5090472_uploaded_image1_1734101443.jpg
Chaussures  homme,17.000,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5046356_uploaded_image1_1731708939.jpg
Chaussures Timberland,35.000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5089057_uploaded_image1_1734026254.jpg
Chaussures Ogiy,10.000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5088889_uploaded_image2_1734020387.jpeg
Baskets Adidas,Prix.sur.demande,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5044140_uploaded_image1_1731603197.63.jpeg
Baskets Nike,Prix.sur.demande,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5044136_uploaded_image1_1731603106.55.jpeg
Baskets,Prix.sur.demande,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5044134_uploaded_image1_1731602992.91.jpeg
Baskets,Prix.sur.demande,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5044131_uploaded_image1_1731602908.43.jpeg
Chaussures  homme,Prix.sur.demande,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5053439_uploaded_image1_1732115840.78.jpeg
Chaussures  homme,Prix.sur.demande,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5053444_uploaded_image1_1732115901.98.jpeg
Chaussures  Homme,Prix.sur.demande,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5053446_uploaded_image1_1732115969.49.jpeg
Chaussures homme,20.000,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5041561_uploaded_image1_1731494431.jpg
Mocassins homme,Prix.sur.demande,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5038508_uploaded_image1_1731341353.03.jpeg
Mocassins homme,Prix.sur.demande,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5038512_uploaded_image1_1731341491.7.jpeg
Sneakers Dior B30,45.000,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_5081368_uploaded_image1_1733609008.jpg
